STT,CSDL,Ten bang DL,Ten truong DL,Ten ky thuat,Mo ta / Y nghia,Kieu du lieu,Do dai toi da,Loai khoa,Bat buoc,Cho phep trung,Danh sach gia tri,Chua DLCN,Muc do nhay cam,Chia se API,Ghi chu / Can cu phap ly
24,CSDL Danh mục dùng chung,dm_benh_truyen_nhiem,Mã bệnh,ma_benh,Mã nội bộ,Text,20,Không,Có,Không,,Không,,Không,
25,CSDL Danh mục dùng chung,dm_benh_truyen_nhiem,Tên bệnh,ten_benh,,Text,300,Không,Có,Không,46 bệnh theo Danh mục 01 - Phụ lục I QĐ97,Không,,Không,
26,CSDL Danh mục dùng chung,dm_benh_truyen_nhiem,Nhóm phân loại,nhom_phan_loai,Nhóm bệnh truyền nhiễm,Text,1,Không,Có,Không,A; B; C,Không,,Không,Điều 15 TT15
27,CSDL Danh mục dùng chung,dm_benh_truyen_nhiem,Kỳ hạn báo cáo,ky_han_bao_cao,Thời hạn báo cáo từng trường hợp bệnh,Text,10,Không,Có,Không,24h; 48h; tuan,Không,,Không,Danh mục 01 - Phụ lục I QĐ97
28,CSDL Danh mục dùng chung,dm_benh_truyen_nhiem,Điểm mức độ nghiêm trọng,diem_muc_do_nghiem_trong,Tiêu chí 1 (tỷ lệ chết/mắc),Số,,Không,Có,Không,1; 2; 3,Không,,Không,Phụ lục I TT15
29,CSDL Danh mục dùng chung,dm_benh_truyen_nhiem,Điểm khả năng lây lan,diem_kha_nang_lay_lan,"Tiêu chí 2 (đường lây, Ro)",Số,,Không,Có,Không,1; 2; 3,Không,,Không,Phụ lục I TT15
30,CSDL Danh mục dùng chung,dm_benh_truyen_nhiem,Điểm khả năng can thiệp,diem_can_thiep_vacxin_thuoc,Tiêu chí 3 (vắc xin/thuốc đặc hiệu),Số,,Không,Có,Không,1; 2; 3,Không,,Không,Phụ lục I TT15
31,CSDL Danh mục dùng chung,dm_benh_truyen_nhiem,Điểm mức độ lưu hành/tiềm năng dịch,diem_luu_hanh_tiem_nang_dich,Tiêu chí 4,Số,,Không,Có,Không,1; 2; 3,Không,,Không,Phụ lục I TT15
32,CSDL Danh mục dùng chung,dm_benh_truyen_nhiem,Tổng điểm,tong_diem,"Tính tự động = tổng 4 tiêu chí (4-12); A nếu ≥10, B nếu 7-9, C nếu <7",Số,,Không,Có,Không,,Không,,Không,"Điều 14, 15 TT15"
33,CSDL Danh mục dùng chung,dm_benh_truyen_nhiem,Lưu hành tại địa phương,luu_hanh_tai_dia_phuong,Dùng cho quy tắc xác định dịch,Bool,,Không,Không,Không,,Không,,Không,Điều 16.1.b/c TT15
34,CSDL Danh mục dùng chung,dm_benh_truyen_nhiem,Ghi chú,ghi_chu,,Text,500,Không,Không,Không,,Không,,Không,
,CSDL Danh mục dùng chung,dm_benh_truyen_nhiem_icd10,--- Bang: dm_benh_truyen_nhiem_icd10 ---,,,,,,,,,,,,Danh mục 01 - Phụ lục I QĐ97 (46 bệnh + mã ICD-10). CHUẨN MÃ: Thông tư 06/2026/TT-BYT (ICD-10)
35,CSDL Danh mục dùng chung,dm_benh_truyen_nhiem_icd10,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
36,CSDL Danh mục dùng chung,dm_benh_truyen_nhiem_icd10,Bệnh truyền nhiễm,benh_id,Tham chiếu dm_benh_truyen_nhiem,Số,,FK,Có,Không,,Không,,Không,
37,CSDL Danh mục dùng chung,dm_benh_truyen_nhiem_icd10,Mã ICD-10,ma_icd10,"Một bệnh có thể có nhiều mã ICD-10 (vd A80 bại liệt, A20 dịch hạch, J09 cúm A độc lực cao)",Text,10,Không,Có,Có,,Không,,Không,"CHUẨN: Mã bệnh theo ICD-10 - Thông tư 06/2026/TT-BYT ngày 02/4/2026 (mã hoá bệnh tật, nguyên nhân tử vong theo ICD-10 để liên thông dữ liệu). Danh mục 01 - Phụ lục I QĐ97"
,CSDL Danh mục dùng chung,dm_nghe_nghiep,--- Bang: dm_nghe_nghiep ---,,,,,,,,,,,,Trường Nghề nghiệp tại Mẫu 01 Phụ lục I QĐ97. CHUẨN MÃ: QĐ 4210/QĐ-BYT (bảng NGHENGHIEP)
38,CSDL Danh mục dùng chung,dm_nghe_nghiep,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
39,CSDL Danh mục dùng chung,dm_nghe_nghiep,Tên nghề nghiệp,ten_nghe_nghiep,Nghề nghiệp của đối tượng giám sát,Text,100,Không,Có,Không,Theo danh mục nghề nghiệp (mẫu Báo cáo trường hợp bệnh - Mẫu 01 PL I ghi Nghề nghiệp),Không,,Không,CHUẨN: Mã nghề nghiệp theo Quyết định 4210/QĐ-BYT (bảng NGHENGHIEP) / Danh mục nghề nghiệp Việt Nam
,CSDL Danh mục dùng chung,dm_dan_toc,--- Bang: dm_dan_toc ---,,,,,,,,,,,,"[Đề xuất kỹ thuật] Cột 6 Mẫu 01 - Phụ lục III QĐ97. CHUẨN MÃ: QĐ 4210/QĐ-BYT (bảng DANTOC), 54 dân tộc theo Tổng cục Thống kê"
40,CSDL Danh mục dùng chung,dm_dan_toc,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
41,CSDL Danh mục dùng chung,dm_dan_toc,Mã dân tộc,ma_dan_toc,Mã 2 chữ số theo danh mục 54 dân tộc (vd 01=Kinh),Text,2,Không,Có,Không,,Không,,Không,CHUẨN: Quyết định 4210/QĐ-BYT (bảng DANTOC) / Danh mục thành phần dân tộc Việt Nam - Tổng cục Thống kê
42,CSDL Danh mục dùng chung,dm_dan_toc,Tên dân tộc,ten_dan_toc,Danh mục 54 dân tộc Việt Nam,Text,50,Không,Có,Không,,Không,,Không,
,CSDL Danh mục dùng chung,dm_muc_do_nguy_co_dot_xuat,--- Bang: dm_muc_do_nguy_co_dot_xuat ---,,,,,,,,,,,,Điều 21.2 TT15
43,CSDL Danh mục dùng chung,dm_muc_do_nguy_co_dot_xuat,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
44,CSDL Danh mục dùng chung,dm_muc_do_nguy_co_dot_xuat,Tên mức độ,ten_muc_do,,Text,20,Không,Có,Không,Thấp; Trung bình; Cao; Rất cao,Không,,Không,
,CSDL Danh mục dùng chung,dm_cap_do_phong_thu_dan_su,--- Bang: dm_cap_do_phong_thu_dan_su ---,,,,,,,,,,,,Điều 17-20 TT15
45,CSDL Danh mục dùng chung,dm_cap_do_phong_thu_dan_su,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
46,CSDL Danh mục dùng chung,dm_cap_do_phong_thu_dan_su,Tên cấp độ,ten_cap_do,,Text,20,Không,Có,Không,Cấp 1; Cấp 2; Cấp 3; Tình trạng khẩn cấp,Không,,Không,
,CSDL Danh mục dùng chung,dm_loai_hinh_giam_sat,--- Bang: dm_loai_hinh_giam_sat ---,,,,,,,,,,,,Điều 6 TT15
47,CSDL Danh mục dùng chung,dm_loai_hinh_giam_sat,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
48,CSDL Danh mục dùng chung,dm_loai_hinh_giam_sat,Tên loại hình,ten_loai_hinh,,Text,50,Không,Có,Không,Dựa vào chỉ số; Trọng điểm; Dựa vào sự kiện,Không,,Không,
,CSDL Danh mục dùng chung,dm_ky_bao_cao,--- Bang: dm_ky_bao_cao ---,,,,,,,,,,,,"Điều 32, 39 TT15 và các điều kỳ báo cáo khác"
49,CSDL Danh mục dùng chung,dm_ky_bao_cao,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
50,CSDL Danh mục dùng chung,dm_ky_bao_cao,Tên kỳ báo cáo,ten_ky,,Text,20,Không,Có,Không,Tháng; 6 tháng; Năm; Định kỳ 5 năm; Đột xuất,Không,,Không,
,CSDL Danh mục dùng chung,nguoi,--- Bang: nguoi ---,,,,,,,,,,,,"[Đề xuất kỹ thuật] Hợp nhất trường nhân khẩu dùng chung cho mọi mẫu sổ/báo cáo (Cột 1-8 các Mẫu sổ PL II, PL III, PL IV). CHUẨN MÃ: số định danh cá nhân (Luật Căn cước 2023), giới tính/dân tộc/quốc gia (QĐ 4210/QĐ-BYT), mã định danh y tế (QĐ 2153/QĐ-BYT)"
51,CSDL Danh mục dùng chung,nguoi,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
52,CSDL Danh mục dùng chung,nguoi,Họ và tên,ho_ten,,Text,200,Không,Có,Không,,Không,,Không,Mẫu 01 Phụ lục I
53,CSDL Danh mục dùng chung,nguoi,Số định danh cá nhân,so_dinh_danh_ca_nhan,Số định danh cá nhân/CCCD (12 chữ số); người chưa có thì dùng hộ chiếu,Text,20,Không,Có,Không,,Có,Cao,Không,"CHUẨN: 12 chữ số theo cấu trúc số định danh cá nhân - Luật Căn cước 2023, Nghị định 137/2015/NĐ-CP (sửa đổi bởi NĐ 37/2021); đồng bộ CSDL quốc gia về dân cư (Bộ Công an). Mẫu 01 Phụ lục I"
54,CSDL Danh mục dùng chung,nguoi,Mã định danh y tế (ID-HL7),ma_dinh_danh_y_te,"Mã định danh y tế cá nhân, dùng số định danh cá nhân làm ID-Y tế",Text,20,Không,Không,Không,,Có,Cao,Không,"[Đề xuất kỹ thuật] CHUẨN: Quyết định 2153/QĐ-BYT ngày 25/5/2020 - quy chế xác lập, sử dụng và quản lý mã định danh y tế (ID y tế = số định danh cá nhân)"
55,CSDL Danh mục dùng chung,nguoi,Ngày sinh,ngay_sinh,Có thể chỉ có năm sinh,Ngày,,Không,Không,Không,,Có,Trung bình,Không,
56,CSDL Danh mục dùng chung,nguoi,Giới tính,gioi_tinh,1=Nam; 2=Nữ; 3=Chưa xác định (hiển thị Nam/Nữ/Không xác định như Mẫu 01 PL I),Text,1,Không,Có,Không,1=Nam; 2=Nữ; 3=Chưa xác định,Có,Thấp,Không,CHUẨN: Mã giới tính theo Quyết định 4210/QĐ-BYT (bảng danh mục GIOITINH)
57,CSDL Danh mục dùng chung,nguoi,Dân tộc,dan_toc_id,Tham chiếu dm_dan_toc,Số,,FK,Không,Không,,Có,Thấp,Không,CHUẨN: Mã dân tộc (54 dân tộc) theo Quyết định 4210/QĐ-BYT (bảng DANTOC) / Danh mục thành phần dân tộc Việt Nam của Tổng cục Thống kê
58,CSDL Danh mục dùng chung,nguoi,Quốc tịch,quoc_tich,Mã quốc gia,Text,3,Không,Không,Không,,Không,,Không,CHUẨN: Mã quốc gia theo Quyết định 4210/QĐ-BYT (bảng QUOCGIA) / ISO 3166-1 alpha-3 (vd VNM)
59,CSDL Danh mục dùng chung,nguoi,Nghề nghiệp,nghe_nghiep_id,Tham chiếu dm_nghe_nghiep,Số,,FK,Không,Không,,Không,,Không,
60,CSDL Danh mục dùng chung,nguoi,Điện thoại,dien_thoai,,Text,20,Không,Không,Không,,Có,Trung bình,Không,
61,CSDL Danh mục dùng chung,nguoi,Địa chỉ hiện tại,dia_chi_hien_tai,"Số nhà, đường/tổ/thôn, phường/xã, tỉnh",Text,500,Không,Không,Không,,Có,Trung bình,Không,
62,CSDL Danh mục dùng chung,nguoi,Địa chỉ thường trú,dia_chi_thuong_tru,,Text,500,Không,Không,Không,,Có,Trung bình,Không,
63,CSDL Danh mục dùng chung,nguoi,Địa bàn quản lý,dia_ban_id,Xã quản lý (mã theo QĐ 19/2025/QĐ-TTg) — dùng tổng hợp báo cáo theo địa bàn dân cư,Số,,FK,Không,Không,,Không,,Không,
64,CSDL Danh mục dùng chung,nguoi,Nơi làm việc/học tập,noi_lam_viec_hoc_tap,,Text,300,Không,Không,Không,,Không,,Không,
,CSDL Giám sát bệnh truyền nhiễm,btn_doi_tuong_giam_sat,--- Bang: btn_doi_tuong_giam_sat ---,,,,,,,,,,,,"Điều 5 (đối tượng giám sát), Điều 7.1a (nội dung giám sát hành chính) TT15"
65,CSDL Giám sát bệnh truyền nhiễm,btn_doi_tuong_giam_sat,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
66,CSDL Giám sát bệnh truyền nhiễm,btn_doi_tuong_giam_sat,Cá nhân,nguoi_id,Tham chiếu bảng nguoi,Số,,FK,Có,Không,,Không,,Không,
67,CSDL Giám sát bệnh truyền nhiễm,btn_doi_tuong_giam_sat,Loại đối tượng,loai_doi_tuong,,Text,30,Không,Có,Không,mac_benh; mang_mam_benh; nghi_ngo; tiep_xuc; tu_vong_do_hoac_nghi_ngo,Không,,Không,
68,CSDL Giám sát bệnh truyền nhiễm,btn_doi_tuong_giam_sat,Đơn vị phát hiện,don_vi_phat_hien_id,Tham chiếu dm_don_vi,Số,,FK,Có,Không,,Không,,Không,
69,CSDL Giám sát bệnh truyền nhiễm,btn_doi_tuong_giam_sat,Ngày phát hiện,ngay_phat_hien,,Ngày,,Không,Có,Không,,Không,,Không,
,CSDL Giám sát bệnh truyền nhiễm,btn_truong_hop_benh,--- Bang: btn_truong_hop_benh ---,,,,,,,,,,,,Mẫu 01 - Phụ lục I QĐ97; Điều 10.2a TT15 — Báo cáo trường hợp bệnh
70,CSDL Giám sát bệnh truyền nhiễm,btn_truong_hop_benh,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
71,CSDL Giám sát bệnh truyền nhiễm,btn_truong_hop_benh,Đối tượng giám sát,doi_tuong_giam_sat_id,Tham chiếu btn_doi_tuong_giam_sat,Số,,FK,Có,Không,,Không,,Không,
72,CSDL Giám sát bệnh truyền nhiễm,btn_truong_hop_benh,Bệnh truyền nhiễm,benh_id,Tham chiếu dm_benh_truyen_nhiem,Số,,FK,Có,Không,,Không,,Không,
73,CSDL Giám sát bệnh truyền nhiễm,btn_truong_hop_benh,Phân loại báo cáo,phan_loai_bao_cao,,Text,10,Không,Có,Không,24h; 48h; tuan,Không,,Không,
74,CSDL Giám sát bệnh truyền nhiễm,btn_truong_hop_benh,Tình trạng tiêm chủng,tinh_trang_tiem_chung,,Text,10,Không,Có,Không,co; khong; khong_ro,Có,Cao,Không,
75,CSDL Giám sát bệnh truyền nhiễm,btn_truong_hop_benh,Số lần tiêm,so_lan_tiem,Nếu tình trạng tiêm chủng = có,Số,,Không,Không,Không,,Không,,Không,
76,CSDL Giám sát bệnh truyền nhiễm,btn_truong_hop_benh,Phân loại chẩn đoán,phan_loai_chan_doan,,Text,20,Không,Có,Không,lam_sang_nghi_ngo; xac_dinh_ptn,Không,,Không,
77,CSDL Giám sát bệnh truyền nhiễm,btn_truong_hop_benh,Ngày khởi phát,ngay_khoi_phat,,Ngày,,Không,Không,Không,,Không,,Không,
78,CSDL Giám sát bệnh truyền nhiễm,btn_truong_hop_benh,Đã lấy mẫu xét nghiệm,da_lay_mau_xn,,Bool,,Không,Không,Không,,Không,,Không,
79,CSDL Giám sát bệnh truyền nhiễm,btn_truong_hop_benh,Loại xét nghiệm,loai_xet_nghiem,,Text,30,Không,Không,Không,test_nhanh; huyet_thanh_hoc; pcr_rtpcr; khac,Không,,Không,
80,CSDL Giám sát bệnh truyền nhiễm,btn_truong_hop_benh,Kết quả xét nghiệm,ket_qua_xet_nghiem,,Text,20,Không,Không,Không,duong_tinh; am_tinh; nghi_ngo; chua_co_ket_qua,Không,,Không,
81,CSDL Giám sát bệnh truyền nhiễm,btn_truong_hop_benh,Tình trạng điều trị,tinh_trang_dieu_tri,,Text,20,Không,Không,Không,ngoai_tru; noi_tru,Không,,Không,
82,CSDL Giám sát bệnh truyền nhiễm,btn_truong_hop_benh,Ngày nhập viện,ngay_nhap_vien,,Ngày,,Không,Không,Không,,Không,,Không,
83,CSDL Giám sát bệnh truyền nhiễm,btn_truong_hop_benh,Ngày ra viện/chuyển viện/tử vong,ngay_ra_vien_chuyen_vien_tu_vong,,Ngày,,Không,Không,Không,,Không,,Không,
84,CSDL Giám sát bệnh truyền nhiễm,btn_truong_hop_benh,Kết quả cuối,ket_qua_cuoi,,Text,20,Không,Không,Không,ra_vien; chuyen_vien; tu_vong; khac,Không,,Không,
85,CSDL Giám sát bệnh truyền nhiễm,btn_truong_hop_benh,Tiền sử dịch tễ,tien_su_dich_te,"Đi lại, tiếp xúc người bệnh/nghi ngờ, tiếp xúc động vật/gia cầm, phơi nhiễm khác",Text,1000,Không,Không,Không,,Có,Cao,Không,
86,CSDL Giám sát bệnh truyền nhiễm,btn_truong_hop_benh,Người báo cáo,nguoi_bao_cao_id,Tham chiếu ht_nguoi_dung,Số,,FK,Không,Không,,Không,,Không,
87,CSDL Giám sát bệnh truyền nhiễm,btn_truong_hop_benh,Đơn vị báo cáo,don_vi_bao_cao_id,TYT xã/CSKCB/cơ sở xét nghiệm,Số,,FK,Có,Không,,Không,,Không,
88,CSDL Giám sát bệnh truyền nhiễm,btn_truong_hop_benh,Ổ dịch liên quan,o_dich_id,Nếu ca bệnh thuộc 1 ổ dịch,Số,,FK,Không,Không,,Không,,Không,
,CSDL Giám sát bệnh truyền nhiễm,btn_o_dich,--- Bang: btn_o_dich ---,,,,,,,,,,,,"Điều 2.1 (định nghĩa ổ dịch); Mẫu 02, 03 - Phụ lục I QĐ97"
89,CSDL Giám sát bệnh truyền nhiễm,btn_o_dich,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
90,CSDL Giám sát bệnh truyền nhiễm,btn_o_dich,Tên ổ dịch,ten_o_dich,,Text,300,Không,Có,Không,,Không,,Không,
91,CSDL Giám sát bệnh truyền nhiễm,btn_o_dich,Bệnh truyền nhiễm,benh_id,Tham chiếu dm_benh_truyen_nhiem,Số,,FK,Có,Không,,Không,,Không,
92,CSDL Giám sát bệnh truyền nhiễm,btn_o_dich,Đơn vị quản lý,don_vi_id,Trạm Y tế cấp xã,Số,,FK,Có,Không,,Không,,Không,
93,CSDL Giám sát bệnh truyền nhiễm,btn_o_dich,Địa điểm,dia_diem,"Thôn/tổ, xã, tỉnh",Text,500,Không,Có,Không,,Không,,Không,
94,CSDL Giám sát bệnh truyền nhiễm,btn_o_dich,Ngày khởi phát ca đầu,ngay_khoi_phat_ca_dau,,Ngày,,Không,Không,Không,,Không,,Không,
95,CSDL Giám sát bệnh truyền nhiễm,btn_o_dich,Ngày nhập cảnh,ngay_nhap_canh,Nếu ca khởi phát ở nước ngoài,Ngày,,Không,Không,Không,,Không,,Không,
96,CSDL Giám sát bệnh truyền nhiễm,btn_o_dich,Ngày đến địa phương,ngay_den_dia_phuong,Bổ sung nếu khởi phát tại nước ngoài,Ngày,,Không,Không,Không,,Không,,Không,
97,CSDL Giám sát bệnh truyền nhiễm,btn_o_dich,Ngày nhận báo cáo đầu,ngay_nhan_bao_cao_dau,,Ngày,,Không,Có,Không,,Không,,Không,
98,CSDL Giám sát bệnh truyền nhiễm,btn_o_dich,Ngày khởi phát ca cuối,ngay_khoi_phat_ca_cuoi,Cập nhật khi kết thúc ổ dịch,Ngày,,Không,Không,Không,,Không,,Không,
99,CSDL Giám sát bệnh truyền nhiễm,btn_o_dich,Ngày kết thúc hoạt động,ngay_ket_thuc_hoat_dong,,Ngày,,Không,Không,Không,,Không,,Không,
100,CSDL Giám sát bệnh truyền nhiễm,btn_o_dich,Mô tả yếu tố nguy cơ,mo_ta_yeu_to_nguy_co,,Text,2000,Không,Không,Không,,Không,,Không,
101,CSDL Giám sát bệnh truyền nhiễm,btn_o_dich,Trạng thái,trang_thai,,Text,20,Không,Có,Không,dang_hoat_dong; da_ket_thuc,Không,,Không,
,CSDL Giám sát bệnh truyền nhiễm,btn_o_dich_so_lieu_ngay,--- Bang: btn_o_dich_so_lieu_ngay ---,,,,,,,,,,,,"Mẫu 02 mục 2, 3 - Phụ lục I QĐ97"
102,CSDL Giám sát bệnh truyền nhiễm,btn_o_dich_so_lieu_ngay,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
103,CSDL Giám sát bệnh truyền nhiễm,btn_o_dich_so_lieu_ngay,Ổ dịch,o_dich_id,Tham chiếu btn_o_dich,Số,,FK,Có,Không,,Không,,Không,
104,CSDL Giám sát bệnh truyền nhiễm,btn_o_dich_so_lieu_ngay,Ngày,ngay,,Ngày,,Không,Có,Không,,Không,,Không,
105,CSDL Giám sát bệnh truyền nhiễm,btn_o_dich_so_lieu_ngay,Thôn/tổ,thon_to,,Text,100,Không,Không,Không,,Không,,Không,
106,CSDL Giám sát bệnh truyền nhiễm,btn_o_dich_so_lieu_ngay,Số mắc,so_mac,,Số,,Không,Có,Không,,Không,,Không,
107,CSDL Giám sát bệnh truyền nhiễm,btn_o_dich_so_lieu_ngay,Số tử vong,so_tu_vong,,Số,,Không,Có,Không,,Không,,Không,
108,CSDL Giám sát bệnh truyền nhiễm,btn_o_dich_so_lieu_ngay,Số mẫu làm xét nghiệm,so_mau_lam_xn,,Số,,Không,Không,Không,,Không,,Không,
109,CSDL Giám sát bệnh truyền nhiễm,btn_o_dich_so_lieu_ngay,Số xét nghiệm dương tính,so_xn_duong_tinh,,Số,,Không,Không,Không,,Không,,Không,
,CSDL Giám sát bệnh truyền nhiễm,btn_o_dich_tong_hop,--- Bang: btn_o_dich_tong_hop ---,,,,,,,,,,,,Mẫu 03 mục 7 - Phụ lục I QĐ97 (chốt số liệu khi kết thúc ổ dịch)
110,CSDL Giám sát bệnh truyền nhiễm,btn_o_dich_tong_hop,Ổ dịch,o_dich_id,Tham chiếu btn_o_dich (PK),Số,,"PK, FK",Có,Không,,Không,,Không,
111,CSDL Giám sát bệnh truyền nhiễm,btn_o_dich_tong_hop,Tổng số mắc,tong_so_mac,,Số,,Không,Có,Không,,Không,,Không,
